model,fold,mae_all,mae_peak,pinball_p90,composite,window,feature_set,n_features
ridge_resid,fold2,239.39540461281882,138.42871827354546,38.19988900586642,168.8662955896463,from_2025_10_01,no_weather,71
ridge_resid,fold3,128.8816027051999,159.13620730671786,30.75868670602326,118.33340088581996,from_2025_10_01,no_weather,71
ridge_resid,fold4,315.3865333975166,229.03592945305607,48.194082653241104,236.04286206532333,from_2025_10_01,no_weather,71
ridge_direct,fold1,303.80387645927976,606.0514151316362,151.4618859393259,364.00973995699593,from_2025_10_01,no_weather,71
ridge_direct,fold2,222.69835833869098,155.16341048707068,37.464677711005294,165.39113785766773,from_2025_10_01,no_weather,71
ridge_direct,fold3,129.5936272501163,159.859750672948,29.946689440885706,118.74407671511969,from_2025_10_01,no_weather,71
ridge_direct,fold4,311.07810124175984,229.77816683414665,47.74672360918269,234.02184539296044,from_2025_10_01,no_weather,71
hgb_resid,fold1,149.24639530582849,291.69049118244925,79.98371203153545,178.12708741395608,from_2025_10_01,no_weather,71
hgb_resid,fold2,161.03683393933179,161.0291977278485,56.28236061340524,140.0836484107015,from_2025_10_01,no_weather,71
hgb_resid,fold3,176.5672817045911,255.4430140447464,86.87871852929385,182.29228877157823,from_2025_10_01,no_weather,71
hgb_resid,fold4,157.57766358586565,25.98567107041882,18.564759531395254,90.29748502033752,from_2025_10_01,no_weather,71
xgb_resid,fold1,172.76925161338988,375.9445441750919,110.0327724461896,221.17454354846043,from_2025_10_01,no_weather,71
xgb_resid,fold2,165.40043175060833,172.9160893945133,69.3086174977216,148.4367661932025,from_2025_10_01,no_weather,71
xgb_resid,fold3,149.99976483200277,269.79970371021943,68.02362135908433,169.5445178008841,from_2025_10_01,no_weather,71
xgb_resid,fold4,159.7808690071106,49.74276374368107,19.46203876876405,98.70567138041243,from_2025_10_01,no_weather,71
xgb_direct,fold1,309.3102536882673,643.6134033203125,267.43465371177314,401.22607858258203,from_2025_10_01,no_weather,71
xgb_direct,fold2,181.28340039934432,294.13022030101104,94.33371748061407,197.74750978609828,from_2025_10_01,no_weather,71
xgb_direct,fold3,151.99427468436105,232.95680865119485,91.7039811515808,164.22497616785515,from_2025_10_01,no_weather,71
xgb_direct,fold4,210.68885875883558,62.58665556066177,27.457005517142154,129.61182715104476,from_2025_10_01,no_weather,71
rf_resid,fold1,193.90864107651092,335.93143071461805,121.21812363095121,221.9773744788311,from_2025_10_01,no_weather,71
rf_resid,fold2,176.97830511730402,133.23314917594053,64.82203620851318,141.4235045531368,from_2025_10_01,no_weather,71
rf_resid,fold3,148.4614334435374,251.03097195010977,64.20998044361407,162.38200439552443,from_2025_10_01,no_weather,71
rf_resid,fold4,220.24050624405086,162.75034404860818,39.35719803895787,166.81679594439947,from_2025_10_01,no_weather,71
ridge_resid,fold1,318.8211904491126,668.8861167713658,167.11270115717963,393.4989704874019,from_2025_10_01,all,80
ridge_resid,fold2,254.830905275104,144.97022032108106,43.83913395602498,179.67434552508132,from_2025_10_01,all,80
ridge_resid,fold3,136.19189405170368,165.22601886444622,36.09902324994248,124.8835573351742,from_2025_10_01,all,80
ridge_resid,fold4,322.27271378509715,251.3146700772664,48.5445472557534,246.23966736687916,from_2025_10_01,all,80
ridge_direct,fold1,282.91152541986634,608.3218964161929,141.83420132277337,352.3191718993457,from_2025_10_01,all,80
ridge_direct,fold2,233.08939493613573,165.56887235378807,43.32585382925528,174.88052994005534,from_2025_10_01,all,80
ridge_direct,fold3,136.02799023201555,166.0890598728857,34.74719537847717,124.79015215356893,from_2025_10_01,all,80
ridge_direct,fold4,317.1178338894105,252.16385295056418,48.13814014467092,243.8357008588087,from_2025_10_01,all,80
hgb_resid,fold1,163.1930588320845,319.1922330874191,94.56757526554276,196.26771439537652,from_2025_10_01,all,80
hgb_resid,fold2,156.72496996471705,179.206954047929,56.9552518061445,143.51562155796614,from_2025_10_01,all,80
hgb_resid,fold3,144.5892164339977,268.14835066025057,67.91868596162236,166.3228506073985,from_2025_10_01,all,80
hgb_resid,fold4,143.22842350090824,24.65518945013486,19.136189679509286,82.83800652139644,from_2025_10_01,all,80
xgb_resid,fold1,154.2329074428195,310.3031037274529,97.28284193867728,189.66395322738106,from_2025_10_01,all,80
xgb_resid,fold2,158.80476924031973,164.76988826078528,61.47687357626501,141.12872581364843,from_2025_10_01,all,80
xgb_resid,fold3,153.8721407960568,284.8633914274328,78.37868490223552,178.07082480670536,from_2025_10_01,all,80
xgb_resid,fold4,135.03709369543054,114.95442558737362,31.05860907533339,108.21659633899404,from_2025_10_01,all,80
xgb_direct,fold1,300.6009928385417,617.4982299804688,253.51175562449868,386.25231653831116,from_2025_10_01,all,80
xgb_direct,fold2,183.9590305146717,291.65137436810664,95.62280291148595,198.59948815006504,from_2025_10_01,all,80
xgb_direct,fold3,147.5582740420387,242.78492647058823,98.04140531494505,166.22289602518484,from_2025_10_01,all,80
xgb_direct,fold4,143.22743334089006,110.59202665441177,34.503473377227785,111.69201934221411,from_2025_10_01,all,80
rf_resid,fold1,185.68056680412695,333.32709214979246,112.22252441041421,215.28291592908406,from_2025_10_01,all,80
rf_resid,fold2,181.32138372338994,135.24313545090033,58.4196305861159,142.91755861418824,from_2025_10_01,all,80
rf_resid,fold3,138.96213001095788,254.2370204637735,59.79590119315946,157.71135138324289,from_2025_10_01,all,80
rf_resid,fold4,314.1340573627334,163.92757228641952,127.56801509677763,231.75890338664811,from_2025_10_01,all,80
ridge_resid,fold1,590.5054473844201,902.7839288821585,395.5164125465812,645.1911848661739,from_2025_11_01,core,42
ridge_resid,fold2,135.62792134232365,116.1511282103409,26.41823086150596,107.94294530656528,from_2025_11_01,core,42
ridge_resid,fold3,147.64575553451166,129.17322188835152,32.43870834283417,119.06258600232812,from_2025_11_01,core,42
ridge_resid,fold4,190.28629411278658,86.45230615313777,30.282244351789316,127.1352877726925,from_2025_11_01,core,42
ridge_direct,fold1,632.0213132046573,953.3615261943235,436.2684538834264,689.272805237311,from_2025_11_01,core,42
ridge_direct,fold2,139.66688178216384,154.81414876035865,26.216158260632444,121.520917171316,from_2025_11_01,core,42
ridge_direct,fold3,144.57971975916902,164.29770755204638,35.85041688696039,128.7492555225905,from_2025_11_01,core,42
ridge_direct,fold4,170.3827691998773,71.33149979037198,28.75917260649523,112.34266905834929,from_2025_11_01,core,42
hgb_resid,fold1,174.22102664369712,349.6646878941179,128.56383164155727,217.72268601839536,from_2025_11_01,core,42
hgb_resid,fold2,161.34916888879343,211.20736905292947,68.23490883145561,157.68377692656668,from_2025_11_01,core,42
hgb_resid,fold3,198.29555043312425,257.6148918431769,132.43435424211725,202.91911361793865,from_2025_11_01,core,42
hgb_resid,fold4,125.1030128576279,72.70315948350688,42.734562752797395,92.90936682442549,from_2025_11_01,core,42
xgb_resid,fold1,174.46721066995747,359.3028375962201,126.75903590925394,220.37626379569554,from_2025_11_01,core,42
xgb_resid,fold2,156.83725089437905,205.88112920873306,70.34727526695778,154.25241926320098,from_2025_11_01,core,42
xgb_resid,fold3,186.659396819726,227.45908131318933,116.93338679159235,184.95410016213827,from_2025_11_01,core,42
xgb_resid,fold4,127.15653400548867,178.35148755241843,60.40231391252507,129.16417605097487,from_2025_11_01,core,42
xgb_direct,fold1,293.5198000953311,618.188243192785,247.40321011679512,381.69701502886005,from_2025_11_01,core,42
xgb_direct,fold2,180.472172328404,391.91065171185664,118.68167743455797,231.54561716467057,from_2025_11_01,core,42
xgb_direct,fold3,168.8761447724842,285.5071016199449,139.63479530425298,198.01716193307618,from_2025_11_01,core,42
xgb_direct,fold4,107.58023943219867,66.44905000574448,38.95656798953102,81.51614831572888,from_2025_11_01,core,42
rf_resid,fold1,205.37705762242066,289.1249023139657,108.02630015649622,211.0312595366993,from_2025_11_01,core,42
rf_resid,fold2,161.14959960618467,195.209503521693,69.12894991676147,152.96344084295254,from_2025_11_01,core,42
rf_resid,fold3,216.70608427785174,251.10996893321158,153.09032514051248,214.30409784699185,from_2025_11_01,core,42
rf_resid,fold4,188.9978264476029,152.62085803923088,29.330936372196252,146.15135791000998,from_2025_11_01,core,42
ridge_resid,fold1,646.1553255397747,843.6207019645241,452.19747253709187,666.6033678666629,from_2025_11_01,no_weather,71
ridge_resid,fold2,387.2634244931525,160.25698318263863,50.102835003666684,251.72937420210118,from_2025_11_01,no_weather,71
ridge_resid,fold3,154.68306999078382,109.02223522499605,30.86300242797127,116.22080604848499,from_2025_11_01,no_weather,71
ridge_resid,fold4,139.78552814840046,63.92555675904685,25.05069863056056,94.0805708280264,from_2025_11_01,no_weather,71
ridge_direct,fold1,679.5774906099058,906.2466060622397,483.7001179147492,708.4027507065746,from_2025_11_01,no_weather,71
ridge_direct,fold2,328.4537464945038,110.6737034813846,44.450175952767324,206.31901948222074,from_2025_11_01,no_weather,71
ridge_direct,fold3,156.35506847844877,115.2697022623772,30.655485727784406,118.88954206349442,from_2025_11_01,no_weather,71
ridge_direct,fold4,131.84957107099405,56.63227088617572,24.56164149278375,87.82679509990648,from_2025_11_01,no_weather,71
hgb_resid,fold1,174.12876658458043,388.080005741243,132.47480807718907,229.98334663010093,from_2025_11_01,no_weather,71
